year,yearly_ranking,name,net_worth_usd_billion,age,nationality,source_of_wealth,industry
1996,6,Tsai Wan-lin & family,12.2,72, Taiwan,Cathay Life Insurance[53],Finance/Insurance
1988,8,Tsai Wan-lin & family,5.6,/, Taiwan,Fubon Group,Finance/Insurance
1995,7,Tsai Wan-lin & family,8.5,/, Taiwan,Fubon Group,Finance/Insurance
1994,8,Tsai Wan-lin & family,7.5,/, Taiwan,Fubon Group,Finance/Insurance
1995,1,Walton family,23.5,/, United States,Wal-Mart,Consumer Goods/Retail
1994,1,Walton family,22.6,/, United States,Wal-Mart,Consumer Goods/Retail
1993,1,Walton family,25.3,/, United States,Wal-Mart,Consumer Goods/Retail
1992,1,Walton family,23.8,/, United States,Wal-Mart,Consumer Goods/Retail
1991,1,Walton family,18.5,/, United States,Wal-Mart,Consumer Goods/Retail
1990,3,Walton family,13.5,/, United States,Wal-Mart,Consumer Goods/Retail
1998,2,Walton family,48,_, United States,Wal-Mart,Consumer Goods/Retail
1997,2,Walton family,27.6,_, United States,Wal-Mart,Consumer Goods/Retail
1996,1,Walton family,22.9,_, United States,Wal-Mart,Consumer Goods/Retail
1995,3,Warren Buffett,10.7,/, United States,Berkshire Hathaway,Miscellaneous
1994,6,Warren Buffett,7.9,/, United States,Berkshire Hathaway,Miscellaneous
1993,9,Warren Buffett,6.6,/, United States,Berkshire Hathaway,Miscellaneous
2022,5,Warren Buffett,118,91, United States,Berkshire Hathaway,Miscellaneous
2021,6,Warren Buffett,96,90, United States,Berkshire Hathaway,Miscellaneous
2020,4,Warren Buffett,67.5,89, United States,Berkshire Hathaway,Miscellaneous
2019,3,Warren Buffett,82.5,88, United States,Berkshire Hathaway,Miscellaneous
2018,3,Warren Buffett,84,87, United States,Berkshire Hathaway,Miscellaneous
2017,2,Warren Buffett,75.6,86, United States,Berkshire Hathaway,Miscellaneous
2016,3,Warren Buffett,60.8,85, United States,Berkshire Hathaway,Miscellaneous
2015,3,Warren Buffett,72.7,84, United States,Berkshire Hathaway,Miscellaneous
2014,4,Warren Buffett,58.2,83, United States,Berkshire Hathaway,Miscellaneous
2013,4,Warren Buffett,53.5,82, United States,Berkshire Hathaway,Miscellaneous
2012,3,Warren Buffett,44,81, United States,Berkshire Hathaway,Miscellaneous
2011,3,Warren Buffett,50,80, United States,Berkshire Hathaway,Miscellaneous
2010,3,Warren Buffett,47,79, United States,Berkshire Hathaway,Miscellaneous
2009,2,Warren Buffett,37,78, United States,Berkshire Hathaway,Miscellaneous
2008,1,Warren Buffett,62,77, United States,Berkshire Hathaway,Miscellaneous
2007,2,Warren Buffett,52,76, United States,Berkshire Hathaway,Miscellaneous
2006,2,Warren Buffett,42,75, United States,Berkshire Hathaway,Miscellaneous
2005,2,Warren Buffett,44,74, United States,Berkshire Hathaway,Miscellaneous
2004,2,Warren Buffett,42.9,73, United States,Berkshire Hathaway,Miscellaneous
2003,2,Warren Buffett,30.5,72, United States,Berkshire Hathaway,Miscellaneous
2002,2,Warren Buffett,35,71, United States,Berkshire Hathaway,Miscellaneous
2001,2,Warren Buffett,32.3,70, United States,Berkshire Hathaway,Miscellaneous
2000,4,Warren Buffett,25.6,69, United States,Berkshire Hathaway,Miscellaneous
1999,2,Warren Buffett,36,68, United States,Berkshire Hathaway,Miscellaneous
1998,3,Warren Buffett,33,67, United States,Berkshire Hathaway,Miscellaneous
1997,3,Warren Buffett,23.2,66, United States,Berkshire Hathaway,Miscellaneous
1996,3,Warren Buffett,15.3,65, United States,Berkshire Hathaway,Miscellaneous
1987,8,Yohachiro Iwasaki [ja],5.6,/, Japan,Mitsubishi ,Manufacturing
1995,5,Yoshiaki Tsutsumi,9,/, Japan,Seibu Group,Miscellaneous
1994,4,Yoshiaki Tsutsumi,8.5,/, Japan,Seibu Group,Miscellaneous
1993,3,Yoshiaki Tsutsumi,9,/, Japan,Seibu Group,Miscellaneous
1992,3,Yoshiaki Tsutsumi,10,/, Japan,Seibu Group,Miscellaneous
1991,3,Yoshiaki Tsutsumi,14,/, Japan,Seibu Group,Miscellaneous
1990,1,Yoshiaki Tsutsumi,16,/, Japan,Seibu Group,Miscellaneous
1989,1,Yoshiaki Tsutsumi,15,/, Japan,Seibu Group,Miscellaneous
1988,1,Yoshiaki Tsutsumi,18.9,/, Japan,Seibu Group,Miscellaneous
1987,1,Yoshiaki Tsutsumi,20,/, Japan,Seibu Group,Miscellaneous
1996,9,Yoshiaki Tsutsumi,9.2,62, Japan,Seibu Railway[55],Miscellaneous
,,,,,,,
,,,,,,,
