year,yearly_ranking,name,net_worth_usd_billion,age,nationality,source_of_wealth,industry
2010,6,Larry Ellison,28,66, United States,Oracle Corporation,Media/Technology
2009,4,Larry Ellison,22.5,64, United States,Oracle Corporation,Media/Technology
2005,9,Larry Ellison,18.4,60, United States,Oracle Corporation,Media/Technology
2003,6,Larry Ellison,16.6,58, United States,Oracle Corporation,Media/Technology
2002,5,Larry Ellison,23.5,57, United States,Oracle Corporation,Media/Technology
2001,4,Larry Ellison,26,56, United States,Oracle Corporation,Media/Technology
2000,2,Larry Ellison,47,55, United States,Oracle Corporation,Media/Technology
2022,6,Larry Page,111,49, United States,Alphabet Inc.,Media/Technology
2021,8,Larry Page,91.5,48, United States,Alphabet Inc.,Media/Technology
2019,10,Larry Page,50.8,45, United States,Alphabet Inc.,Media/Technology
1998,9,Lee Shau-kee,12.7,70, Hong Kong,Henderson Land Development[50],Real Estate
1997,4,Lee Shau-kee,14.7,69, Hong Kong,Henderson Land Development[50],Real Estate
1996,5,Lee Shau-kee,12.7,68, Hong Kong,Henderson Land Development[50],Real Estate
1995,9,Lee Shau-kee,6.5,/, Hong Kong,real estate,Real Estate
2006,10,Li Ka-shing & family,18.8,77, Hong Kong,"Cheung Kong Group, Hutchison Whampoa",Energy
2007,9,Li Ka-shing & family,23,78, Hong Kong,"Cheung Kong Holdings, Hutchison Whampoa",Energy
2013,8,Li Ka-shing & family,31,84, Hong Kong,Cheung Kong Holdings,Manufacturing
